id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,site_alt,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
76,076_1,,Koonya,Hobart (Mt Koonya),DWSR2502C,22/03/2012,-,-43.1122,147.8057,511.654,C,Yes,,0,1,TAS,
77,077_1,0-20010-0-3046,Arafura,Warruwi,DWSR2502C,15/11/2012,-,-11.6485,133.38,43.69,C,Yes,,0,1,NT,
78,078_1,0-20000-0-94170,Weipa78,Weipa,Wurrung-2502C,12/10/2015,-,-12.6664,141.9247,43.675,C,Yes,,0,1,NT,
79,079_1,,Wathroo,Watheroo,Wurrung-2502C,10/05/2017,-,-30.36,116.2896,366.986,C,Yes,,0,1.7,WA,
93,093_1,,Brewarr,Brewarrina,Meteor735CDP,01/12/2020,-,-29.9708,146.814,149,C,Yes,Yes,0,1,NSW,
94,094_1,,Hillston,Hillston,Meteor735CDP,01/08/2021,-,-33.552,145.5286,144,C,Yes,Yes,0,1,NSW,
95,095_1,,Rainbow,Rainbow (Wimmera),Meteor735CDP,30/03/2020,-,-35.9975,142.0133,148.225,C,Yes,Yes,0,1,VIC,
96,096_1,,Yeoval,Yeoval,Meteor735CDP,26/05/2022,-,-32.7444,148.7081,486.824,C,Yes,Yes,0,1,NSW,
97,097_1,,Mild_DP,Mildura,Meteor735CDP,15/03/2021,-,-34.278,141.589,58.68,C,Yes,Yes,0,1,VIC,
98,098_1,,Taroom,Taroom,Meteor1700SDP,20/05/2022,-,-25.6962,149.8982,312.443,S,Yes,Yes,0,1,QLD,
105,105_1,,BrisAP,Meteopress C-band,MeteoPressC,29/09/2022,-,-27.3915,153.13,12.066,C,Yes,Yes,0,1.7,QLD,
107,107_1,,Rchmond,Richmond,Meteor1700SDP,29/09/2022,-,-20.7518,143.1414,245.443,S,Yes,Yes,0,1,QLD,
